"","id","rank","workers","company","url","state_l","state_s","city","metro","growth","revenue","industry","yrs_on_list"
"3412",20250,3412,20,"Emerald Data Solutions","emerald-data-solutions","Georgia","GA","Marietta","Atlanta",98,5307589,"Software",4
"3413",25954,3413,131,"Thorson Baker + Associates","thorson-baker-associates","Ohio","OH","Richfield","Akron OH",98,15955422,"Engineering",1
"3414",553,3414,315,"Pariveda Solutions","pariveda-solutions","Texas","TX","Dallas","Dallas",98,57653000,"IT Services",7
"3415",23775,3415,12,"Helton & Co.","helton-co","Arizona","AZ","Mesa","Phoenix",98,2886557,"Retail",2
"3416",25285,3416,600,"Canteen Service Co. of Owensboro","canteen-service-co-of-owensboro","Kentucky","KY","Owensboro","Owensboro KY",98,55937000,"Food & Beverage",1
"3417",18788,3417,136,"UDT","udt","Florida","FL","Doral","Miami",98,106681491,"IT Services",5
"3418",26579,3418,15,"Krueger Communications","krueger-communications","Wisconsin","WI","Elm Grove","Milwaukee-Waukesha-West Allis WI",98,3043737,"Telecommunications",1
"3419",17589,3419,13,"Cloud 9 Living","cloud-9-living","Colorado","CO","Boulder","Boulder CO",98,6266090,"Consumer Products & Services",5
"3420",26551,3420,51,"Kaygen","kaygen","California","CA","Irvine","Los Angeles",97,10944846,"IT Services",1
"3421",20614,3421,16,"XML Financial Group","xml-financial-group","Maryland","MD","Rockville","Washington DC",97,3764000,"Financial Services",4
"3422",2558,3422,364,"WideOrbit","wideorbit","California","CA","San Francisco","San Francisco",97,73781250,"Software",6
"3423",19721,3423,36,"Endevis","endevis","Ohio","OH","Toledo","Toledo OH",97,7373943,"Human Resources",3
"3424",22587,3424,117,"H&H Shooting Sports Complex","hh-shooting-sports-complex","Oklahoma","OK","Oklahoma City","Oklahoma City OK",97,25248079,"Retail",8
"3425",1371,3425,136,"Gimmal","gimmal","Texas","TX","Houston","Houston",97,25062976,"Software",9
"3426",4170,3426,1668,"Sun Coast Resources","sun-coast-resources","Texas","TX","Houston","Houston",97,1868964476,"Energy",7
"3427",23712,3427,69,"P2 Solutions Group","p2-solutions-group","Washington","WA","Seattle","Seattle",97,8463385,"IT Services",2
"3428",21835,3428,77,"Viscira","viscira","California","CA","San Francisco","San Francisco",97,10230009,"Software",3
"3429",20004,3429,650,"Russell Cellular","russell-cellular","Missouri","MO","Battlefield","Springfield MO",97,105984490,"Retail",4
"3430",21380,3430,9,"Healthcare Solutions Team","healthcare-solutions-team","Illinois","IL","Lombard","Chicago",97,20058395,"Insurance",3
"3431",17974,3431,353,"Telx","telx","New York","NY","New York","New York City",97,256675000,"Telecommunications",5
"3432",21938,3432,21,"Corner Alliance","corner-alliance","District of Columbia","DC","Washington","Washington DC",97,4010240,"Government Services",3
"3433",2870,3433,1179,"Connolly","connolly","Connecticut","CT","Wilton","Bridgeport-Stamford-Norwalk CT",97,319399000,"Financial Services",6
